,is_employed,self_employed,salary,additional_income,credit_score,eviction,criminal,age,score,is_good
209,True,False,1100,3500,570,1,1,21,78.02922374429224,1.0
210,True,False,3293,0,543,1,1,27,70.0,1.0
211,True,False,2500,0,543,1,1,21,82.06210045662101,1.0
212,True,False,4100,0,585,1,3,29,70.0,1.0
213,True,False,3820,0,771,1,1,29,25.0,0.0
214,True,False,7920,0,800,1,1,30,81.8310502283105,1.0
215,False,True,3000,5000,613,1,1,53,70.0,1.0
216,False,True,5000,0,819,1,1,45,70.0,1.0
217,True,False,3200,0,562,1,1,32,20.0,0.0
218,True,False,6000,0,628,1,1,22,81.07488584474886,1.0
219,True,False,3692,1080,588,1,1,42,20.0,0.0
220,True,False,2200,0,560,1,1,40,20.0,0.0
221,False,False,2000,0,400,0,0,22,20.0,0.0
222,True,False,3000,500,673,1,1,24,70.0,1.0
223,True,False,2304,0,596,1,1,20,80.54977168949772,1.0
224,True,False,3500,600,557,1,1,35,20.0,0.0
225,True,False,1333,1000,690,1,1,26,82.44018264840183,1.0
226,True,False,2500,0,511,1,1,24,20.0,0.0
227,True,False,4500,0,654,1,1,27,20.0,0.0
228,True,False,3120,700,598,1,1,41,20.0,0.0
229,False,False,2000,6000,795,1,1,68,70.0,1.0
230,True,False,3600,0,681,1,1,30,79.49954337899544,1.0
231,True,False,3200,0,553,1,1,45,20.0,0.0
232,True,False,5000,0,400,0,0,22,60.0,0.0
233,True,False,5568,1875,731,1,1,46,78.05022831050228,1.0
234,True,False,1000,2400,706,1,1,20,78.47615826980763,1.0
235,False,True,20000,0,639,1,1,42,82.0320102110524,1.0
236,True,False,2600,0,534,1,1,24,20.0,0.0
237,True,False,3500,500,637,1,1,38,20.0,0.0
238,False,False,2000,1948,620,1,2,26,60.0,0.0
239,True,False,3360,0,400,0,0,35,60.0,0.0
240,True,False,4000,0,501,1,1,38,20.0,0.0
241,True,False,7000,0,779,1,1,37,80.86484018264841,1.0
242,False,True,2720,0,626,1,1,26,20.0,0.0
243,True,False,5379,0,729,1,1,25,20.0,0.0
244,True,False,8500,0,623,1,1,52,83.5324200913242,1.0
245,True,False,3600,0,546,1,1,21,20.0,0.0
246,True,False,4000,0,612,1,1,42,25.0,0.0
247,True,False,2080,841,540,1,1,31,20.0,0.0
248,True,False,2700,1500,658,1,1,32,82.65022831050229,1.0
249,True,False,1700,0,522,1,1,23,20.0,0.0
250,False,False,2000,12000,685,1,1,66,83.84748858447489,1.0
251,True,False,1600,0,548,1,1,23,20.0,0.0
252,False,True,25000,0,712,1,1,47,20.0,0.0
253,True,False,7000,0,400,0,0,30,20.0,0.0
254,True,False,7500,0,797,1,1,60,82.27214611872147,1.0
255,True,False,2400,100,668,1,1,25,70.0,1.0
256,False,False,2000,1435,562,1,1,67,70.0,1.0
257,True,True,4000,0,533,1,1,36,20.0,0.0
258,True,False,3500,0,610,1,1,22,70.0,1.0
259,True,False,2080,0,653,1,1,29,70.0,1.0
260,False,False,2000,0,540,1,2,39,20.0,0.0
261,True,False,3520,0,735,1,1,52,79.52054794520548,1.0
262,True,False,2400,0,583,1,1,39,20.0,0.0
263,True,False,3500,0,563,1,2,31,70.0,1.0
264,True,False,1800,0,636,1,1,27,84.07853881278538,1.0
265,True,False,2000,0,400,0,0,20,60.0,0.0
266,True,False,2500,0,578,1,1,33,20.0,0.0
267,True,False,3000,0,569,1,1,28,20.0,0.0
268,True,False,2707,300,476,1,1,20,20.0,0.0
269,True,False,4000,0,554,1,1,35,20.0,0.0
270,True,False,1920,0,686,1,1,22,70.0,1.0
271,True,False,2250,0,547,1,1,23,60.0,0.0
272,True,False,3200,0,542,1,1,47,20.0,0.0
273,True,False,9000,0,814,1,1,31,81.45296803652968,1.0
274,True,False,4000,0,677,1,1,25,70.0,1.0
275,True,False,2100,0,566,1,1,34,20.0,0.0
276,True,False,5000,0,612,1,1,30,78.68036529680366,1.0
277,True,False,3000,300,664,1,1,22,20.0,0.0
278,False,False,2000,0,600,1,1,21,78.78538812785388,1.0
279,True,False,2800,960,578,1,1,30,20.0,0.0
280,True,False,10000,0,590,1,1,43,79.64657534246575,1.0
281,True,False,950,0,560,1,1,38,20.0,0.0
282,True,False,6000,0,753,1,1,51,20.0,0.0
283,True,False,2314,300,689,1,1,26,70.0,1.0
284,True,False,6000,0,796,1,1,60,70.0,1.0
285,False,False,2000,0,584,1,1,41,20.0,0.0
286,True,True,4100,0,489,1,1,23,20.0,0.0
287,True,False,6323,0,748,1,1,41,82.04109589041096,1.0
288,True,False,3333,0,762,1,1,25,25.0,0.0
289,True,False,2400,0,562,1,1,23,20.0,0.0
290,False,False,2000,795,543,1,1,27,20.0,0.0
291,True,False,7000,0,595,1,4,30,60.0,0.0
292,True,False,2560,0,695,1,1,23,70.0,1.0
293,True,False,600,855,671,1,1,53,20.0,0.0
294,True,False,2400,0,569,1,1,57,20.0,0.0
295,True,False,3700,0,597,1,1,21,45.46693145281132,0.0
296,True,True,5830,0,674,1,1,59,83.82648401826484,1.0
297,False,False,2000,0,729,1,2,39,20.0,0.0
298,True,False,4277,0,788,1,1,23,70.0,1.0
299,True,False,11200,0,595,1,1,41,25.0,0.0
300,True,True,3000,2000,547,1,1,30,20.0,0.0
301,False,True,6000,500,733,1,1,35,80.96986301369863,1.0
302,True,False,3200,0,522,1,1,24,20.0,0.0
303,True,False,7000,0,776,1,1,49,81.03287671232877,1.0
304,True,False,1400,500,583,1,2,46,20.0,0.0
305,True,False,670,0,653,1,1,27,60.0,0.0
306,True,False,3500,0,634,1,1,23,25.0,0.0
307,True,False,4400,0,636,1,1,25,60.0,0.0
308,True,False,7200,0,714,1,1,28,77.462100456621,1.0
309,True,False,2600,0,749,1,1,22,78.36529680365297,1.0
310,True,False,2400,0,567,1,1,36,60.0,0.0
311,True,False,2240,0,499,1,1,42,20.0,0.0
312,True,False,3100,0,511,2,1,28,20.0,0.0
313,True,False,5000,0,608,1,2,41,20.0,0.0
314,True,False,2200,0,568,1,1,36,20.0,0.0
315,True,False,4000,0,786,1,1,31,25.0,0.0
316,False,False,2000,3200,543,1,1,50,71.4562973238541,0.0
317,True,False,3000,0,566,1,1,37,60.0,0.0
318,True,False,5000,0,646,1,1,22,70.0,1.0
319,True,False,5200,0,770,1,1,24,79.3945205479452,1.0
320,True,False,800,200,735,1,1,22,38.25536529680365,0.0
321,True,False,10000,0,747,1,1,60,80.86484018264841,1.0
322,False,True,3000,0,400,0,0,45,60.0,0.0
323,True,False,2500,0,564,1,2,33,20.0,0.0
324,True,False,3000,0,586,1,1,24,68.66371445363714,0.0
325,True,False,2800,700,670,1,1,39,60.0,0.0
326,False,True,8000,0,750,1,1,50,20.0,0.0
327,True,False,3700,0,574,1,1,30,20.0,0.0
328,True,False,5064,0,685,1,1,63,20.0,0.0
329,True,False,6000,0,597,1,1,40,20.0,0.0
330,True,True,2408,0,400,0,0,21,60.0,0.0
331,True,False,36,0,565,2,1,58,20.0,0.0
332,True,False,5200,0,655,1,1,27,20.0,0.0
333,True,False,2606,0,634,1,2,25,20.0,0.0
334,True,False,7085,0,714,1,1,41,20.0,0.0
335,True,False,2880,0,729,1,1,45,70.0,1.0
336,True,False,4166,0,697,1,1,24,84.85570776255707,1.0
337,True,False,4675,0,751,1,1,24,79.7095890410959,1.0
338,True,False,4000,0,718,1,1,27,70.0,1.0
339,True,False,5000,536,564,1,1,35,70.0,1.0
340,True,False,2000,0,717,1,1,24,20.0,0.0
341,True,False,6700,0,543,1,1,20,20.0,0.0
342,True,False,4200,0,512,1,1,45,20.0,0.0
343,True,False,7148,0,724,1,1,39,20.0,0.0
344,True,False,2500,0,498,2,2,31,20.0,0.0
345,True,False,3475,0,590,1,1,31,20.0,0.0
346,True,False,3100,1700,543,1,1,31,20.0,0.0
347,True,False,4500,0,589,1,2,22,70.0,1.0
348,False,False,2000,0,641,1,1,42,20.0,0.0
349,True,False,2819,485,522,1,2,33,20.0,0.0
350,False,False,2000,841,543,1,1,60,72.77273320287019,0.0
351,True,False,800,0,586,1,1,60,20.0,0.0
352,False,True,4500,0,794,1,1,39,70.0,1.0
353,True,False,2100,0,618,1,1,38,70.0,1.0
354,True,False,3500,0,554,1,1,34,20.0,0.0
355,False,True,11000,1000,740,1,1,40,70.0,1.0
356,True,False,3500,0,574,1,1,24,20.0,0.0
357,False,True,5500,1000,797,1,1,27,70.0,1.0
358,True,False,3040,0,583,1,1,23,70.0,1.0
359,False,False,2000,1800,545,1,1,63,20.0,0.0
360,True,False,1800,400,532,1,1,37,20.0,0.0
361,True,True,5000,0,694,1,1,43,70.0,1.0
362,True,False,2500,1300,606,1,1,35,20.0,0.0
363,True,False,5000,2400,626,1,1,56,70.0,1.0
364,True,False,1400,0,637,1,1,24,20.0,0.0
365,True,False,3307,0,761,1,1,52,83.7634703196347,1.0
366,False,True,20000,0,709,1,1,55,82.20913242009132,1.0
367,True,False,3400,0,546,1,2,24,70.0,1.0
368,True,False,2000,0,400,0,0,29,60.0,0.0
369,False,True,2100,0,616,1,1,35,20.0,0.0
370,True,False,2800,300,567,1,1,27,20.0,0.0
371,True,False,3600,0,689,1,1,36,78.02922374429224,1.0
372,False,False,2000,0,543,1,1,33,20.0,0.0
373,True,False,6740,0,729,1,1,35,80.69680365296804,1.0
374,True,False,5769,0,682,1,1,43,84.39360730593607,1.0
375,True,False,1100,0,660,1,1,21,81.68401826484018,1.0
376,True,False,2000,0,400,0,0,30,60.0,0.0
377,True,False,5805,0,752,1,1,28,25.0,0.0
378,True,False,5600,0,622,1,1,30,69.06380517503804,0.0
379,True,False,5500,0,527,1,1,31,20.0,0.0
380,True,False,3470,144,558,1,1,31,20.0,0.0
381,True,False,4300,0,659,1,1,39,82.20913242009132,1.0
382,True,False,3200,0,588,1,1,37,20.0,0.0
383,False,False,2000,0,543,1,1,21,20.0,0.0
384,True,False,3500,0,615,1,1,22,20.0,0.0
385,True,True,3500,0,543,1,1,57,20.0,0.0
386,True,False,2500,0,850,1,1,46,81.91506849315068,1.0
387,False,False,2000,2000,543,1,1,48,25.0,0.0
388,True,False,4992,0,666,1,1,30,83.93150684931507,1.0
389,False,False,2000,0,616,1,1,29,60.0,0.0
390,True,False,2088,0,589,1,1,53,70.0,1.0
391,True,False,4500,0,689,1,1,26,70.0,1.0
392,True,False,2500,0,653,1,1,23,20.0,0.0
393,True,False,3000,0,587,1,2,30,20.0,0.0
394,True,False,4000,400,547,1,1,47,20.0,0.0
395,True,False,3000,0,681,1,1,33,84.96073059360731,1.0
396,True,False,3200,0,547,1,2,37,20.0,0.0
397,True,False,3500,600,567,1,1,31,82.90228310502283,1.0
398,True,False,6000,0,700,1,1,44,81.89406392694065,1.0
399,False,False,2000,1025,543,1,1,20,20.0,0.0
400,True,False,4500,400,530,1,2,28,20.0,0.0
401,True,False,2500,800,522,1,1,24,20.0,0.0
402,True,False,800,800,610,1,1,54,20.0,0.0
403,True,False,2000,0,400,0,0,30,60.0,0.0
404,True,False,4500,0,598,1,1,32,78.21826484018266,1.0
405,False,False,2000,1800,578,1,1,33,20.0,0.0
406,True,False,2400,0,572,1,1,24,20.0,0.0
407,True,False,4400,0,658,1,1,25,80.99086757990868,1.0
408,True,False,5000,0,621,1,2,28,60.0,0.0
409,True,False,4500,0,721,1,1,23,72.85876980929359,0.0
410,True,False,6900,0,814,1,1,37,70.0,1.0
411,True,False,3456,0,529,1,1,35,20.0,0.0
412,True,False,2628,1739,596,1,1,38,20.0,0.0
413,False,False,2000,0,765,1,1,57,80.59178082191781,1.0
414,True,False,3923,0,548,1,1,50,20.0,0.0
415,True,False,1500,1500,573,1,1,19,70.0,1.0
416,True,False,4000,0,559,1,1,61,20.0,0.0
417,True,False,9600,0,673,1,1,33,70.0,1.0
418,True,False,3900,0,640,1,2,43,20.0,0.0
419,False,True,3000,500,618,1,1,37,20.0,0.0
420,True,False,2500,0,552,1,1,34,20.0,0.0
